gebiednummer,X,Y
1,	5.480629072,	51.42280414
2,	5.475551256,	51.4301297
3,	5.484874035,	51.42981747
4,	5.479547612,	51.43329275
5,	5.481256387,	51.43658308
6,	5.488640546,	51.43216804
7,	5.490248329,	51.43677323
8,	5.4712509,	51.4398471
9,	5.488722875,	51.43793699
10,	5.48956845,	51.44166345
11,	5.481018408,	51.43971715
12,	5.476748164,	51.44122275
13,	5.475509509,	51.43723097
14,	5.4712509,	51.4398471
15,	5.469288972,	51.44166447
16,	5.459706732,	51.44649739
17,	5.467896372,	51.44569215
18,	5.478519283,	51.44176801
19,	5.475301581,	51.44792041
20,	5.478969832,	51.44686063
21,	5.485979193,	51.44720562
22,	5.496179167,	51.44812562
23,	5.490707457,	51.45040378
24,	5.475509509,	51.43723097
